CPF rév. 2.1, 2015 - Niveau 6 - Liste des sous-catégories;
13.20.41;Velours et peluches tissés et tissus de chenille (autres que tissus éponge et articles de rubanerie)
13.20.42;Tissus éponge et étoffes bouclées similaires (autres qu'articles de rubanerie), en coton
13.20.43;Autres tissus éponge et étoffes bouclées similaires (autres qu'articles de rubanerie)
13.20.44;Tissus à point de gaze (autres qu'articles de rubanerie)
13.20.45;Surfaces textiles touffetées, autres que tapis
13.20.46;Tissus en fibres de verre (y compris articles de rubanerie)
13.20.50;Imitation de fourrure par tissage
13.20.99;Opérations sous-traitées intervenant dans la fabrication de tissus
13.30.11;Blanchiment et teinture de fils et de fibres textiles
13.30.12;Blanchiment de tissus et d'articles textiles (y compris d'articles d'habillement)
13.30.13;Teinture de tissus et d'articles textiles (y compris d'articles d'habillement)
13.30.19;Autres ennoblissements de textiles et d'articles textiles (y compris d'articles d'habillement)
13.91.11;Velours, peluches et étoffes bouclées à maille
13.91.19;Autres étoffes à maille, y compris imitation de fourrure
13.91.99;Opérations sous-traitées intervenant dans la fabrication d'étoffes à maille
13.92.11;Couvertures, à l'exclusion des couvertures électriques
13.92.12;Linge de lit
13.92.13;Linge de table
13.92.14;Linge de toilette ou de cuisine
13.92.15;"Rideaux (y compris doubles rideaux) et stores d'intérieur ; cantonnières et tours de lit"
13.92.16;"Articles d'ameublement n.c.a. ; assortiments composés de pièces de tissus et de fils pour la confection de tapis, de tapisseries et d'articles similaires"
13.92.21;Sacs et sachets d'emballage
13.92.22;"Bâches, bannes et stores d'extérieur ; voiles pour bateaux, planches à voile ou chars à voile ; tentes et articles de camping (y compris matelas pneumatiques)"
13.92.23;Parachutes (y compris parapentes) et rotochutes, et leurs parties
13.92.24;Couettes, édredons, coussins, poufs, oreillers, sacs de couchage, équipés de ressorts ou garnis intérieurement d'un matériau quelconque, de caoutchouc mousse ou de plastique
13.92.29;Autres articles textiles confectionnés (y compris serpillières, lavettes, chamoisettes et articles d'entretien similaires, ceintures et gilets de sauvetage)
13.92.99;Opérations sous-traitées intervenant dans la fabrication d'articles textiles confectionnés, sauf habillement
13.93.11;Tapis et autres revêtements de sol en matières textiles, à points noués
13.93.12;Tapis et autres revêtements de sol en matières textiles, tissés, non touffetés, ni floqués
13.93.13;Tapis et autres revêtements de sol en matières textiles, touffetés
13.93.19;Autres tapis et revêtements de sol en matières textiles (y compris en feutre)
13.93.99;Opérations sous-traitées intervenant dans la fabrication de tapis et moquettes
13.94.11;Ficelles, cordes, cordages et câbles, de jute ou d'autres fibres textiles libériennes
13.94.12;"Filets à mailles nouées, obtenus à partir de ficelles, cordes ou cordages ; filets confectionnés en matières textiles ; articles en fils, lames, n.c.a."
13.94.20;Chiffons, déchets de cordages et articles textiles usés
13.94.99;Opérations sous-traitées intervenant dans la fabrication de ficelles, cordes et filets
13.95.10;Non-tissés et articles en non-tissés, sauf habillement
13.95.99;Opérations sous-traitées intervenant dans la fabrication de non-tissés et d'articles en non-tissés, sauf habillement
13.96.11;Fils et filés métallisés
13.96.12;Tissus en fils métalliques et filés métallisés n.c.a.
13.96.13;"Fils et cordes de caoutchouc, recouverts de textiles ; fils textiles et lames, imprégnés ou recouverts de caoutchouc ou de matière plastique"
13.96.14;Tissus imprégnés, enduits ou recouverts n.c.a.
13.96.15;Nappes tramées pour pneumatiques obtenues à partir de fils à haute ténacité en nylon ou autres polyamides, en polyesters ou en rayonne viscose
13.96.16;Produits et articles textiles pour usages techniques (y compris mèches textiles, manchons à incandescence, tuyaux pour pompes, courroies transporteuses ou de transmission, toiles à bluter et gazes)
13.96.17;"Articles de rubanerie ; rubans sans trame encollés (bolducs) ; articles de passementerie"
13.96.99;Opérations sous-traitées intervenant dans la fabrication de textiles techniques et industriels
13.99.11;"Tulles et tulles bobinots, à l'exclusion des articles tissés ou de bonneterie ; dentelles en pièces, bandes ou motifs"
13.99.12;Broderies en pièces, bandes ou motifs
13.99.13;Feutres, enduits, recouverts ou stratifiés
13.99.14;Fibres textiles d'une longueur n'excédant pas 5 mm (tontisses), nœuds et noppes de matières textiles
13.99.15;"Fils guipés et guipures ; chenilles ; chaînettes"
13.99.16;Pièces textiles de capitonnage
13.99.19;Autres textiles et articles textiles n.c.a.
13.99.99;Opérations sous-traitées intervenant dans la fabrication d'autres textiles n.c.a.
14.11.10;Vêtements en cuir naturel ou reconstitué
14.11.99;Opérations sous-traitées intervenant dans la fabrication de vêtements en cuir
14.12.11;Ensembles et vestes de travail pour hommes
14.12.12;Pantalons, salopettes, culottes et shorts de travail pour hommes
14.12.21;Ensembles et vestes de travail pour femmes
14.12.22;Pantalons, salopettes, culottes et shorts de travail pour femmes
14.12.30;Autres vêtements de travail
14.12.99;Opérations sous-traitées intervenant dans la confection de vêtements de travail
14.13.11;Manteaux, pardessus, paletots, pèlerines, anoraks, coupe-vent, parkas et articles similaires, en maille, pour hommes et garçonnets
14.13.12;Costumes, complets, vestes, vestons, pantalons, salopettes, culottes et shorts, en maille, pour hommes et garçonnets
14.13.13;Manteaux, pardessus, paletots, pèlerines, anoraks, coupe-vent, parkas et articles similaires, en maille, pour femmes et fillettes
14.13.14;Costumes-tailleurs, ensembles, vestes, robes, jupes, pantalons, salopettes, culottes et shorts, en maille, pour femmes et fillettes
14.13.21;Manteaux, pardessus, imperméables, paletots, pèlerines, anoraks, coupe-vent, parkas et articles similaires, en tissu, pour hommes et garçonnets
14.13.22;Costumes et complets, en tissu, pour hommes et garçonnets
14.13.23;Vestes et vestons, en tissu, pour hommes et garçonnets
14.13.24;Pantalons, salopettes, culottes et shorts, en tissu, pour hommes et garçonnets
14.13.31;Manteaux, pardessus, paletots, pèlerines, anoraks, coupe-vent, parkas et articles similaires, en tissu, pour femmes et fillettes
14.13.32;Costumes-tailleurs et ensembles, en tissu, pour femmes et fillettes
14.13.33;Vestes et vestons, en tissu, pour femmes et fillettes
14.13.34;Robes, jupes et jupes-culottes, en tissu, pour femmes et fillettes
14.13.35;Pantalons, salopettes, culottes et shorts, en tissu, pour femmes et fillettes
14.13.40;Fripes
14.13.99;Opérations sous-traitées intervenant dans la confection de vêtements de dessus
14.14.11;Chemises et chemisettes, en maille, pour hommes et garçonnets
14.14.12;Slips, caleçons, gilets de corps, pyjamas, peignoirs, robes de chambre et articles similaires, en maille, pour hommes et garçonnets
14.14.13;Chemisiers et tuniques, en maille, pour femmes et fillettes
14.14.14;Slips, culottes, jupons, combinaisons, chemises de nuit, pyjamas, robes de chambre, déshabillés, peignoirs et articles similaires, en maille, pour femmes et fillettes
14.14.21;Chemises et chemisettes, en tissu, pour hommes et garçonnets
14.14.22;Maillots et autres tricots de corps, slips, caleçons, pyjamas, peignoirs, robes de chambre, en tissu, pour hommes et garçonnets
14.14.23;Chemisiers et tuniques, en tissu, pour femmes et fillettes
14.14.24;Maillots et autres tricots de corps, slips, culottes, jupons, combinaisons, chemises de nuit, pyjamas, robes de chambre, déshabillés, peignoirs et articles similaires, en tissu, pour femmes et fillettes
14.14.25;Soutiens-gorge, corsets, gaines, bustiers, porte-jarretelles, jarretières et articles similaires, et leurs parties, en maille ou en tissu
14.14.30;Tee-shirts et maillots de corps, en maille
14.14.99;Opérations sous-traitées intervenant dans la confection de vêtements de dessous
14.19.11;Layette et accessoires du vêtement, en maille
14.19.12;Survêtements, ensembles de ski, maillots de bains et autres vêtements de sport ou de loisir, en maille
14.19.13;Gants, mitaines et moufles, en maille
14.19.19;Autres accessoires de l'habillement et leurs parties, en maille
14.19.21;Layette et accessoires de l'habillement, en tissu
14.19.22;"Survêtements, ensembles de ski et maillots de bains ; autres vêtements de sport ou de loisir, en tissu"
14.19.23;"Mouchoirs, châles, écharpes, voiles, cravates, nœuds papillons, gants et autres accessoires ; parties de vêtements et d'accessoires, en tissu, n.c.a."
14.19.31;Accessoires de l'habillement, en cuir naturel ou reconstitué, à l'exclusion des gants de sport
14.19.32;Vêtements confectionnés en feutres, en non-tissés ou en textiles enduits ou imprégnés
14.19.41;"Cloches et formes pour chapeaux, capuchons de feutre ; plateaux et manchons de feutre ; formes de chapeau, tressées ou fabriquées par l'assemblage de bandes"
14.19.42;"Chapeaux et autres coiffures, en feutre, en matières tressées ou assemblées, en bonneterie, en dentelle ou en tissu ; filets à cheveux"
14.19.43;"Autres coiffures, à l'exclusion des coiffures en caoutchouc ou en plastique, des casques de sécurité et des casques en amiante ; bandeaux serre-tête, doublures, couvertures, bases et carcasses pour chapeaux, visières et mentonnières"
14.19.99;Opérations sous-traitées intervenant dans la confection d'autres vêtements et accessoires
14.20.10;Vêtements, accessoires et autres articles en fourrure, à l'exclusion des coiffures
14.20.99;Opérations sous-traitées intervenant dans la confection d'articles en fourrure
14.31.10;Collants, bas, chaussettes et autres articles chaussants à mailles
14.31.99;Opérations sous-traitées intervenant dans la confection d'articles chaussants à mailles
14.39.10;Pull-overs, cardigans, chandails, gilets et articles similaires à mailles
14.39.99;Opérations sous-traitées intervenant dans la confection d'autres articles à mailles
15.11.10;Peaux tannées ou apprêtées
15.11.21;Cuirs et peaux chamoisés
15.11.22;"Cuirs et peaux vernis ou plaqués ; cuirs et peaux métallisés"
15.11.31;Cuirs et peaux épilés de bovins, entiers
15.11.32;Cuirs et peaux épilés de bovins, en parties
15.11.33;Cuirs et peaux épilés d'équidés
15.11.41;Cuirs et peaux délainés d'ovins
15.11.42;Cuirs et peaux épilés de caprins
15.11.43;Cuirs et peaux de porcins
15.11.51;Cuirs et peaux épilés d'autres animaux
15.11.52;Cuirs reconstitués à base de cuir ou de fibres de cuir
15.11.99;Opérations sous-traitées intervenant dans la fabrication de cuirs et peaux tannés et apprêtés et de peaux apprêtées et teintées
15.12.11;Articles de sellerie et de bourrellerie pour tous animaux, en toutes matières
15.12.12;"Articles de voyage et de maroquinerie, en cuir naturel ou reconstitué, en feuilles plastiques, en matières textiles, en fibre vulcanisée ou en carton ; trousses de toilettes, nécessaires de couture, à habits ou à chaussures"
15.12.13;Bracelets de montre non métalliques et leurs parties
15.12.19;Autres articles en cuir naturel ou reconstitué (y compris articles utilisés dans des appareils mécaniques ou à d'autres fins techniques) n.c.a.
15.12.99;Opérations sous-traitées intervenant dans la fabrication d'articles de sellerie et de bourrellerie et d'articles de voyage et de maroquinerie
15.20.11;Chaussures étanches à semelles extérieures et dessus en caoutchouc ou en matière plastique, autres que chaussures comportant une coquille de protection en métal
15.20.12;Chaussures à semelles extérieures et dessus en caoutchouc ou en matière plastique, autres que chaussures étanches et chaussures de sport
15.20.13;Chaussures à dessus en cuir, autres que chaussures de sport, chaussures comportant une coquille de protection en métal et chaussures spéciales diverses
15.20.14;Chaussures à dessus en textile, autres que chaussures de sport
15.20.21;Chaussures de tennis, basket, gymnastique et similaires
15.20.29;Autres chaussures de sport, à l'exclusion des chaussures de ski et de surf des neiges
15.20.31;Chaussures comportant une coquille de protection en métal
15.20.32;Chaussures en bois, chaussures spéciales diverses et autres chaussures n.c.a.
15.20.40;"Parties de chaussures en cuir ; semelles intérieures amovibles, talonnettes et articles similaires ; guêtres, jambières et articles similaires, et leurs parties"
15.20.99;Opérations sous-traitées intervenant dans la fabrication de chaussures
16.10.11;Bois de conifères, sciés ou dédossés longitudinalement, tranchés ou déroulés, d'une épaisseur supérieure à 6 mm
16.10.12;Bois autres que de conifères, sciés ou dédossés longitudinalement, tranchés ou déroulés, d'une épaisseur supérieure à 6 mm
16.10.13;Traverses en bois pour voies ferrées ou similaires, non traitées
16.10.21;Bois, profilés sur au moins une face ou une rive (y compris lames et frises à parquet, non assemblées, et moulures et baguettes), de conifères
16.10.22;Bois, profilés sur au moins une face ou une rive (y compris lames et frises à parquet, non assemblées, et moulures et baguettes), en bambou
16.10.23;Bois, profilés sur au moins une face ou une rive (y compris lames et frises à parquet, non assemblées, et moulures et baguettes), d'autres bois
16.10.24;"Laine de bois ; farine de bois"
16.10.25;Plaquettes et particules de bois
16.10.31;Bois bruts, peints, teints ou traités à la créosote ou avec d'autres produits de conservation
16.10.32;Traverses de chemins de fer en bois, imprégnées
16.10.39;Autres bois bruts, y compris poteaux et piquets fendus
16.10.91;Séchage, imprégnation ou traitement chimique du bois
16.10.99;Opérations sous-traitées intervenant dans la fabrication de bois, sciés et rabotés
16.21.11;Bois contreplaqués, bois plaqués et bois stratifiés similaires, en bambou
16.21.12;Panneaux de particules
16.21.13;"Panneaux dits ""oriented strand board"" (osb)"
16.21.14;Autres panneaux en bois ou en autres matières ligneuses
16.21.15;Panneaux de fibres de bois ou d'autres matières ligneuses
16.21.16;Autres bois contreplaqués, bois plaqués et bois stratifiés similaires, de conifères
16.21.17;Autres bois contreplaqués, bois plaqués et bois stratifiés similaires, ayant au moins un pli extérieur en bois tropicaux
16.21.18;Autres bois contreplaqués, bois plaqués et bois stratifiés similaires, d'autres bois
16.21.21;Bois densifiés, en blocs, planches, lames ou profilés
16.21.22;Feuilles de placage, feuilles pour contreplaqués et pour autres bois sciés longitudinalement, tranchés ou déroulés, d'une épaisseur inférieure ou égale à 6 mm, de conifères
